Transaction Dates (Calculated),N.Y.C. - J Day Ahead Price,N.Y.C. - J Day Ahead Forecast Load
"41,640.00",53.88,5389
"41,640.04",43.75,5199
"41,640.08",50,4998
"41,640.13",44.36,4856
"41,640.17",45.18,4752
"41,640.21",47.21,4780
"41,640.25",56.28,4870
"41,640.29",54.57,4956
"41,640.33",53.03,5047
"41,640.38",56.98,5185
"41,640.42",58.64,5370
"41,640.46",61.3,5502
"41,640.50",58.84,5629
"41,640.54",56.31,5695
"41,640.58",53.83,5724
"41,640.63",56.28,5751
"41,640.67",76.53,5881
"41,640.71",123.49,6169
"41,640.75",114.59,6219
"41,640.79",91.27,6164
"41,640.83",83.97,6100
"41,640.88",73.17,5979
"41,640.92",57.04,5771
"41,640.96",58.25,5478
"41,641.00",52.27,5210
"41,641.04",50.53,4958
"41,641.08",56.74,4775
"41,641.13",55.94,4693
"41,641.17",61.7,4707
"41,641.21",62.13,4909
"41,641.25",128.76,5354
"41,641.29",161.91,5860
"41,641.33",137.95,6200
"41,641.38",165.02,6459
"41,641.42",166.91,6603
"41,641.46",180.5,6684
"41,641.50",181.51,6727
"41,641.54",169.37,6731
"41,641.58",166.57,6725
"41,641.63",154.88,6706
"41,641.67",187.09,6826
"41,641.71",260.63,7059
"41,641.75",223.96,6965
"41,641.79",204.33,6804
"41,641.83",191.67,6619
"41,641.88",176.02,6395
"41,641.92",122.11,6101
"41,641.96",72.88,5698
"41,642.00",111.35,5279
"41,642.04",105.47,5059
"41,642.08",111.36,4897
"41,642.13",104.11,4833
"41,642.17",98.37,4878
"41,642.21",133.28,5147
"41,642.25",167.88,5698
"41,642.29",199.77,6330
"41,642.33",175,6757
"41,642.38",186.28,7048
"41,642.42",191,7212
"41,642.46",186.76,7309
"41,642.50",184.09,7336
"41,642.54",186.06,7317
"41,642.58",184.09,7257
"41,642.63",182.61,7213
"41,642.67",222.59,7313
"41,642.71",296.58,7567
"41,642.75",274.82,7472
"41,642.79",234.51,7262
"41,642.83",196.55,7039
"41,642.88",190.4,6789
"41,642.92",186.27,6500
"41,642.96",176.34,6093
"41,643.00",168.42,5805
"41,643.04",157.27,5537
"41,643.08",154.54,5333
"41,643.13",150.24,5240
"41,643.17",153.53,5150
"41,643.21",158.01,5123
"41,643.25",188.61,5309
"41,643.29",176.26,5706
"41,643.33",189.21,6034
"41,643.38",209.56,6324
"41,643.42",206.2,6489
"41,643.46",191.35,6563
"41,643.50",174.84,6536
"41,643.54",167.5,6459
"41,643.58",150.22,6366
"41,643.63",153.6,6275
"41,643.67",196.23,6370
"41,643.71",252.17,6722
"41,643.75",213.96,6771
"41,643.79",192.98,6691
"41,643.83",182.67,6557
"41,643.88",166.08,6395
"41,643.92",148.5,6203
"41,643.96",138.71,5893
"41,644.00",118.52,5415
"41,644.04",111.43,5167
"41,644.08",109.16,4980
"41,644.13",101.94,4896
"41,644.17",99.69,4818
"41,644.21",97.85,4762
"41,644.25",106.88,4872
"41,644.29",88.07,5141
"41,644.33",89.71,5414
"41,644.38",125.17,5684
"41,644.42",124.58,5875
"41,644.46",121.3,5985
"41,644.50",111.34,6031
"41,644.54",103.64,6033
"41,644.58",98.83,6015
"41,644.63",92.74,5994
"41,644.67",110,6112
"41,644.71",172.57,6358
"41,644.75",147.57,6364
"41,644.79",132.85,6284
"41,644.83",125.48,6170
"41,644.88",103.38,6004
"41,644.92",96.17,5768
"41,644.96",86.75,5451
"41,645.00",76.51,5039
"41,645.04",76.98,4768
"41,645.08",74.85,4591
"41,645.13",70.91,4513
"41,645.17",72.28,4525
"41,645.21",79.81,4731
"41,645.25",110.81,5264
"41,645.29",146.56,5871
"41,645.33",139.15,6255
"41,645.38",134.66,6490
"41,645.42",139.39,6618
"41,645.46",135.39,6693
"41,645.50",124.75,6753
