id,date,coal,fuel_oil,natural_gas,reservoirs,run-of-river,imports,exports,ssg_hydro,ssg_thermal,ssg_wind,ssg_photovoltaic,ssg_wave,pumping,demand
PT,2015-01-01 0:00:00,1757.2,0,0,1265.5,939.3,19.5,0,80.4,827.1,521.6,0,0,0,5398.6
PT,2015-01-01 0:15:00,1757.6,0,0,1237.4,933.7,50.2,0,72.8,801.6,522,0,0,0,5363.2
PT,2015-01-01 0:30:00,1757.2,0,0,1270.9,900.5,37.8,0,71.5,790,506,0,0,0,5322.4
PT,2015-01-01 0:45:00,1756.4,0,0,1260.4,788.5,108.3,0,75.9,789.8,516.6,0,0,0,5284.2
PT,2015-01-01 1:00:00,1756,0,0,846.7,585.6,638.6,0,75.3,799,538.8,0,0,0,5227.7
PT,2015-01-01 1:15:00,1756.4,0,0,842.5,488.5,690.2,0,67.1,791.7,551,0,0,0,5174.8
PT,2015-01-01 1:30:00,1757.6,0,0,781.7,458.9,690.8,0,67.2,791.9,566,0,0,0,5089.2
PT,2015-01-01 1:45:00,1756.8,0,0,657.3,457.1,713.5,0,67.6,801.5,564.6,0,0,0,4989.2
PT,2015-01-01 2:00:00,1756,0,0,405.9,360.9,955.4,0,66.7,805.1,580.3,0,0,1.2,4898.8
PT,2015-01-01 2:15:00,1755.6,0,0,403.9,313.6,996.5,0,67.1,805.2,598,0,0,103.5,4806.5
PT,2015-01-01 2:30:00,1755.6,0,0,412.7,335.5,988.9,0,68.3,799.1,595.1,0,0,217.2,4714.5
PT,2015-01-01 2:45:00,1757.2,0,0,379.9,277.3,963.3,0,74.1,798.7,628.9,0,0,230.3,4625.3
PT,2015-01-01 3:00:00,1754.8,0,0,214.8,348.7,1009.3,0,69.7,800.9,666.2,0,0,304.2,4536
PT,2015-01-01 3:15:00,1756.8,0,0,151.9,322.8,1003.7,0,69.2,800.4,707.1,0,0,319.6,4468.2
PT,2015-01-01 3:30:00,1756.4,0,0,151.6,319.3,1010.9,0,73.5,805.2,734.3,0,0,425.7,4407.7
PT,2015-01-01 3:45:00,1758.4,0,0,151.9,332.6,1023.3,0,75.8,804.1,731,0,0,511.1,4346.5
PT,2015-01-01 4:00:00,1756,0,0,151.9,362.1,1068.2,0,76.8,806.6,730.7,0,0,635.6,4299.6
PT,2015-01-01 4:15:00,1756,0,0,151.7,326,1081.1,0,77.8,804,720.4,0,0,643.9,4254.6
PT,2015-01-01 4:30:00,1757.2,0,0,151.8,309.2,1081.1,0,81.1,800.5,717.5,0,0,667.3,4211.1
PT,2015-01-01 4:45:00,1760.8,0,0,151.4,311.4,1070.6,0,93.1,802,727.4,0,0,717.4,4180.3
PT,2015-01-01 5:00:00,1756.4,0,0,125.5,520.7,942.1,0,85,804.3,745.7,0,0,806.8,4154.3
PT,2015-01-01 5:15:00,1756.8,0,0,124.1,480,932.9,0,81.7,799.5,782.3,0,0,807.6,4131.8
PT,2015-01-01 5:30:00,1758,0,0,123.9,463.4,944.5,0,82.8,803.9,784,0,0,832.2,4108.4
PT,2015-01-01 5:45:00,1760.4,0,0,125.6,475.7,878,0,84.8,807.4,763.1,0,0,789.8,4087
PT,2015-01-01 6:00:00,1757.2,0,0,237.9,523.4,375.6,0,85.7,808.3,750.5,0,0,421.8,4096.9
PT,2015-01-01 6:15:00,1757.6,0,0,241.4,561,342,0,85.6,806.3,723.1,0,0,418.2,4082.3
PT,2015-01-01 6:30:00,1756.8,0,0,241.6,565.7,334.4,0,80.8,811.4,709.8,0,0,417.9,4065
PT,2015-01-01 6:45:00,1756.4,0,0,272.9,538.6,341.2,0,85.7,818.8,735.8,0,0,479.6,4052.8
PT,2015-01-01 7:00:00,1754.8,0,0,438.8,449.5,409.9,0,85,808.1,790.1,0,0,666.6,4050.5
PT,2015-01-01 7:15:00,1684.4,0,0,465.4,470.5,401.5,0,89.6,807.1,860.7,0,0,785.7,3975.4
PT,2015-01-01 7:30:00,1582,0,0,443.9,443.4,402.8,0,91.8,812.5,905.2,0,0,785.7,3876.6
PT,2015-01-01 7:45:00,1571.2,0,0,395.3,409.9,390.4,0,92.5,810.2,927.1,0.8,0,786.3,3792.8
PT,2015-01-01 8:00:00,1474.4,0,0,409.6,577.8,293.5,0,119.5,812.7,902.8,7.6,0,785.9,3794.3
PT,2015-01-01 8:15:00,1436,0,0,402.4,614.7,276.9,0,156,810.8,863.1,23.4,0,725.2,3840
PT,2015-01-01 8:30:00,1389.2,0,0,406.7,623.1,279.5,0,166.1,810.9,830,44.4,0,630.4,3902.7
PT,2015-01-01 8:45:00,1391.2,0,0,405.1,594,224.5,0,159.5,801.4,804,68.1,0,480.1,3951.3
PT,2015-01-01 9:00:00,1383.6,0,0,299.2,520.9,92.9,0,164.6,806.9,807.8,92.2,0,99.5,4029.2
PT,2015-01-01 9:15:00,1383.2,0,0,276.9,593.1,82.9,0,167.8,810,814.9,111.8,0,94.4,4107.4
PT,2015-01-01 9:30:00,1384,0,0,274.6,650.6,104.9,0,167.6,811.9,804.6,127.1,0,94.5,4193.6
PT,2015-01-01 9:45:00,1386.4,0,0,274.8,601.8,170.1,0,165.7,811.9,790,140.2,0,18.2,4285.7
PT,2015-01-01 10:00:00,1384.8,0,0,282.5,388.5,439.6,0,164.6,810.3,807.6,150.4,0,0,4389.9
PT,2015-01-01 10:15:00,1383.2,0,0,292.7,431.3,481.3,0,163.6,809.2,792.9,157.9,0,0,4473.4
PT,2015-01-01 10:30:00,1384.4,0,0,291.7,527,495.8,0,160.2,805.2,773,163.7,0,0,4563.5
PT,2015-01-01 10:45:00,1386.4,0,0,291.5,545.6,582.5,0,160.5,800.9,744.7,167.8,0,0,4642.9
PT,2015-01-01 11:00:00,1382.8,0,0,412,429.1,717.3,0,157.8,807.2,701.1,171.1,0,0,4745.5
PT,2015-01-01 11:15:00,1384,0,0,444.8,494,745,0,158.7,805,671.5,165.5,0,0,4836.8
PT,2015-01-01 11:30:00,1384.8,0,0,456.4,546.2,797.6,0,162.5,803.2,615.4,173.6,0,0,4907.4
PT,2015-01-01 11:45:00,1429.6,0,0,487.7,546.8,878.1,0,162.6,801.1,512.4,176.8,0,0,4963.9
PT,2015-01-01 12:00:00,1456.4,0,0,491.2,515.8,1015.9,0,163.7,804,430.9,177.7,0,0,5024.9
PT,2015-01-01 12:15:00,1463.6,0,0,493.2,540.1,1071.2,0,161.4,800.9,374.3,177.6,0,0,5051.9
