price,load
53.88,5389
43.75,5199
50,4998
44.36,4856
45.18,4752
47.21,4780
56.28,4870
54.57,4956
53.03,5047
56.98,5185
58.64,5370
61.3,5502
58.84,5629
56.31,5695
53.83,5724
56.28,5751
76.53,5881
123.49,6169
114.59,6219
91.27,6164
83.97,6100
73.17,5979
57.04,5771
58.25,5478
52.27,5210
50.53,4958
56.74,4775
55.94,4693
61.7,4707
62.13,4909
128.76,5354
161.91,5860
137.95,6200
165.02,6459
166.91,6603
180.5,6684
181.51,6727
169.37,6731
166.57,6725
154.88,6706
187.09,6826
260.63,7059
223.96,6965
204.33,6804
191.67,6619
176.02,6395
122.11,6101
72.88,5698
111.35,5279
105.47,5059
111.36,4897
104.11,4833
98.37,4878
133.28,5147
167.88,5698
199.77,6330
175,6757
186.28,7048
191,7212
186.76,7309
184.09,7336
186.06,7317
184.09,7257
182.61,7213
222.59,7313
296.58,7567
274.82,7472
234.51,7262
196.55,7039
190.4,6789
186.27,6500
176.34,6093
168.42,5805
157.27,5537
154.54,5333
150.24,5240
153.53,5150
158.01,5123
188.61,5309
176.26,5706
189.21,6034
209.56,6324
206.2,6489
191.35,6563
174.84,6536
167.5,6459
150.22,6366
153.6,6275
196.23,6370
252.17,6722
213.96,6771
192.98,6691
182.67,6557
166.08,6395
148.5,6203
138.71,5893
118.52,5415
111.43,5167
109.16,4980
101.94,4896
99.69,4818
97.85,4762
106.88,4872
88.07,5141
89.71,5414
125.17,5684
124.58,5875
121.3,5985
111.34,6031
103.64,6033
98.83,6015
92.74,5994
110,6112
172.57,6358
147.57,6364
132.85,6284
125.48,6170
103.38,6004
96.17,5768
86.75,5451
76.51,5039
76.98,4768
74.85,4591
70.91,4513
72.28,4525
79.81,4731
110.81,5264
146.56,5871
139.15,6255
134.66,6490
139.39,6618
135.39,6693
124.75,6753
122.68,6762
118.7,6766
128.18,6775
138.43,6896
194.05,7051
179.05,6966
158.59,6799
138.07,6608
116.47,6371
108.46,6038
111.26,5609
157.09,5287
151.63,5050
149.32,4895
148.12,4828
153.08,4897
165.15,5195
202.34,5774
235,6377
216.97,6796
224.49,7073
231.03,7243
220.67,7342
192.67,7407
196.29,7417
188.12,7408
192.22,7417
211,7516
300.35,7699
295.6,7607
254.29,7395
242.79,7152
209.3,6842
186.66,6455
173.67,5975
208.64,5637
189.71,5330
188.26,5146
187.79,5058
189.5,5127
212.78,5407
259.6,5948
266.2,6484
250.24,6860
249.15,7105
240.04,7250
225.88,7328
217.78,7373
209.64,7361
202.17,7332
213.65,7339
217.68,7427
285.81,7595
269.99,7505
238.39,7290
231.68,7044
218.07,6745
201.09,6361
197.51,5902
182.3,5581
158.65,5270
158.71,5077
162.88,4982
163.88,5034
180.44,5278
190.36,5790
241.2,6278
244.85,6638
230.58,6867
189.56,7028
182.12,7094
180.37,7144
177.2,7141
175.86,7117
176.21,7120
186.51,7189
257.52,7383
227.9,7310
194.74,7116
187,6885
180.29,6622
166.58,6276
152.53,5853
64.57,5471
66.65,5163
61.49,4957
53.3,4856
60.79,4892
54.08,5125
79.15,5609
96.48,6112
91.33,6460
86.52,6716
78.01,6884
75.94,6942
72.75,6985
71.17,6979
65.51,6947
65.42,6950
76.73,7024
105.2,7168
84.48,7054
77.64,6836
71.92,6600
68.39,6362
46.48,6076
49.27,5695
31.72,5251
30.45,4964
31.36,4771
30.1,4664
29.99,4552
29.36,4519
33.85,4629
32.25,4891
35.81,5174
38.87,5459
40.5,5681
39.84,5780
38.61,5831
36.39,5834
35.28,5807
35.51,5803
39.07,5879
49.92,6140
45.23,6167
42,6064
39.71,5923
37.43,5773
33.86,5585
34.42,5322
33.66,5032
33.04,4780
30.07,4612
29.86,4538
30.09,4433
26.44,4342
25.93,4360
26.56,4548
28.45,4776
32.43,5049
35.35,5280
35.53,5400
36.14,5472
34.86,5479
34.08,5484
33.43,5490
36.57,5592
50.06,5962
47.96,6091
44.34,6062
40.49,5998
41.24,5872
35.15,5665
33.36,5378
29.78,5073
26.14,4797
26,4628
25.9,4549
25.88,4591
31.28,4826
39.53,5322
45.23,5878
40.04,6206
40.38,6454
40.38,6602
40.01,6641
39.38,6670
38.09,6681
37.16,6660
36.92,6674
42.87,6782
56.67,6972
49.7,6892
45.91,6712
41.01,6486
38.04,6218
34.81,5854
33.24,5398
31.08,4966
26.8,4672
25.92,4489
25.62,4397
26.13,4396
32.09,4620
47.52,5114
50.67,5682
47.84,6026
46.93,6285
48.58,6441
46.06,6500
42.83,6535
42.19,6555
41.93,6550
41.89,6574
44.75,6668
61.28,6849
55.02,6759
51.37,6573
45.47,6372
39.88,6115
37.82,5756
36.15,5321
31.48,4978
27.07,4686
25.87,4508
25.7,4414
27.07,4426
36.01,4670
50.82,5160
53.21,5720
50.82,6059
52.06,6297
52.15,6434
51.07,6465
46.87,6487
45.35,6492
43.25,6467
43.07,6483
45.45,6566
61.34,6794
55.82,6728
52.96,6552
45.31,6345
42.85,6099
39.72,5764
37.84,5322
40.15,4961
33.94,4689
31.67,4519
31.2,4432
33.6,4441
37.07,4667
46.26,5164
56.36,5746
51.27,6084
55,6333
56.44,6469
56.51,6517
51.17,6536
47.07,6546
45.39,6514
45.35,6534
46.28,6605
64.08,6812
59.54,6766
57.34,6586
47.49,6380
45.55,6125
43.77,5799
45.08,5378
36.93,5025
32.64,4747
31.02,4576
29.68,4495
33.9,4507
35.53,4744
54.33,5251
56.56,5830
50.11,6181
56.03,6427
55.27,6562
51.15,6599
47.22,6600
44.94,6583
42.99,6539
42.44,6537
43.29,6587
58.21,6761
54.65,6698
49.66,6507
43.6,6273
43.75,6039
42.93,5765
39.61,5379
55.54,4964
45.93,4735
41.92,4579
41.09,4490
39.56,4398
40.28,4385
51.61,4511
55.31,4801
58.33,5084
64.52,5362
66,5561
65.29,5650
62.66,5670
61.11,5662
60.99,5633
57.75,5634
57.54,5697
78.46,5976
69.46,6082
68.83,6018
61.14,5901
61.17,5767
59.95,5611
59.93,5367
61.62,5028
55.14,4807
51.39,4640
51.68,4562
54.09,4487
55.52,4423
56.44,4449
59.18,4630
60.89,4868
68.35,5166
80.62,5393
80.37,5511
71.54,5562
70.76,5581
66.37,5577
66.53,5595
85.76,5677
132.32,5958
115.87,6083
104.89,6054
95.32,5962
80.21,5808
72.12,5593
61.5,5305
78.29,4954
68.22,4727
67.45,4575
63.59,4494
69.23,4479
75.25,4628
122.25,4919
134.59,5266
135.6,5590
146.49,5884
150.27,6088
146.08,6185
135.47,6199
129.18,6202
125.47,6192
125.76,6217
155.38,6285
223.45,6514
203.68,6539
167.84,6417
145.22,6257
133.3,6039
115.46,5748
107.49,5355
165.85,5019
149.93,4806
148.6,4673
147.62,4617
159.25,4627
185.84,4878
250.61,5411
313.47,5980
294.47,6354
288.36,6640
256.85,6795
240.18,6860
227.42,6886
228.1,6887
214.8,6875
238.36,6912
283.02,7004
380.44,7195
326.82,7164
290.61,6984
276.84,6765
254.91,6494
217.08,6138
190.37,5675
202.04,5394
183.84,5165
184.87,5030
184.72,4966
192.05,5012
224.97,5272
296.1,5802
344.7,6365
319.67,6742
329.21,7011
308.4,7152
278.74,7234
254.1,7258
235.78,7238
239.78,7215
256.22,7240
294.16,7310
377.02,7510
364.7,7503
317.13,7324
303.66,7116
278.91,6840
245.54,6487
202.74,6036
259.89,5672
222.64,5374
219.72,5195
226.22,5123
252.07,5192
300,5457
354.02,5994
438.23,6529
407.78,6910
385.91,7187
399.55,7327
360.12,7380
328.6,7400
326.92,7372
331.5,7329
338.94,7348
435.31,7410
516.81,7569
500,7559
453.47,7382
450,7149
375.69,6865
331.11,6505
286.96,6038
346.17,5697
303.8,5395
300.17,5216
317.06,5137
328.26,5200
355.7,5472
447.02,6016
